descricao,id
Licenciatura em Espanhol [2006-2011] - Campus Natal-Central,83
Licenciatura em Espanhol [2012] - Campus Natal-Central,499
Licenciatura em Letras Espanhol EaD - Campus EaD,441
"Técnico de Nível Médio em Segurança do Trabalho, na Forma Subsequente [2012] - Campus EaD (ETEC)",420
"Técnico de Nível Médio em Segurança do Trabalho, na Forma Subsequente [2012] - Campus Natal-Central",411
