descricao,id
Alfabetizado,13
Ensino fundamental completo,14
Ensino fundamental incompleto,15
Ensino médio completo,16
Ensino médio incompleto,17
Ensino superior completo,18
Ensino superior incompleto,19
Pós graduação completo,20
Pós graduação incompleto,21
Não conhece,22
Não estudou,12
