descricao,id
Somente em escola pública,1
A maior parte em escola pública,2
Somente em escola particular,3
A maior parte em escola particular,4
Somente em escola indígena,5
A maior parte em escola indígena,6
Outro tipo de escola,9
Somente em escola situada em comunidade quilombola,7
A maior parte em escola situada em comunidade quilombola,8
