aluno_id,ano_letivo__ano,periodo_letivo,situacao_id
339589733109,2004,2,18
126841320849,2008,2,11
59822991965,2008,2,16
127538353849,2008,2,11
126308787637,2008,2,11
128243751245,2008,2,16
130945451153,2008,2,11
41820023641,2008,2,11
122868232749,2008,2,11
14284432009,2008,2,11
126261389393,2008,2,11
13375500977,2008,2,16
125993728721,2008,2,11
37980765877,2008,2,11
125065280765,2008,2,11
127075523937,2008,2,11
128779072589,2008,2,11
127022549429,2008,2,11
126105254001,2008,2,11
127089464597,2008,2,11
31473265789,2008,2,16
131076493357,2008,2,11
127039278221,2008,2,10
61250515549,2008,2,11
43582123065,2008,2,11
127083888333,2008,2,11
127047642617,2008,2,11
24302190285,2008,2,16
126029974437,2008,2,11
36779080985,2008,2,11
125023458785,2008,2,11
123607087729,2008,2,11
46398136385,2008,2,12
125734432445,2008,2,11
127203778009,2008,2,10
22436929977,2008,2,11
28372863005,2008,2,11
126029974437,2009,1,16
128243751245,2009,1,15
14284432009,2009,1,11
127203778009,2009,1,16
127089464597,2009,1,3
13375500977,2009,1,15
28372863005,2009,1,11
130945451153,2009,1,11
127039278221,2009,1,11
43582123065,2009,1,11
126261389393,2009,1,11
127083888333,2009,1,11
125734432445,2009,1,11
125023458785,2009,1,16
122868232749,2009,1,11
31473265789,2009,1,15
126308787637,2009,1,11
127022549429,2009,1,16
127538353849,2009,1,11
46398136385,2009,1,15
131076493357,2009,1,11
125993728721,2009,1,11
126841320849,2009,1,11
128779072589,2009,1,10
61250515549,2009,1,11
36779080985,2009,1,11
126105254001,2009,1,11
59822991965,2009,1,15
127075523937,2009,1,11
22436929977,2009,1,15
125065280765,2009,1,11
41820023641,2009,1,11
123607087729,2009,1,11
127047642617,2009,1,3
37980765877,2009,1,11
24302190285,2009,1,15
175209834785,2009,2,11
127022549429,2009,2,15
130945451153,2009,2,11
162953206513,2009,2,16
167628903877,2009,2,11
168094521921,2009,2,11
127075523937,2009,2,11
125023458785,2009,2,4
169915172117,2009,2,16
165844499397,2009,2,16
19824450293,2009,2,11
163870501941,2009,2,16
14284432009,2009,2,11
164531289225,2009,2,15
126261389393,2009,2,11
164709729673,2009,2,11
41663888249,2009,2,11
167584293765,2009,2,11
165719033457,2009,2,11
42109989369,2009,2,11
176826951345,2009,2,16
164706941541,2009,2,11
12260248177,2009,2,11
123607087729,2009,2,11
126029974437,2009,2,15
162944842117,2009,2,11
50139809529,2009,2,11
169257172965,2009,2,16
167626115745,2009,2,11
41820023641,2009,2,11
164536865489,2009,2,16
176659663425,2009,2,16
169059215593,2009,2,10
127203778009,2009,2,12
46724347829,2009,2,11
177886441505,2009,2,16
122868232749,2009,2,3
26591246657,2009,2,11
