descricao,id
Afastado,8
Aguardando Colação de Grau,13
Aguardando ENADE,16
Aguardando Seminário,15
Cancelado,10
Cancelamento Compulsório,20
Certificado ENEM,14
Concludente,5
Concluído,6
Egresso,18
Estagiario (Concludente),12
Evasão,9
Falecido,7
Formado,19
Intercâmbio,17
Jubilado,3
Matriculado,1
Matrícula Vínculo Institucional,21
Não Concluído,102
Não concluído,100
Trancado,2
Trancado Voluntariamente,99
Transferido Externo,11
Transferido Interno,4
Transferido SUAP,101
